"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2000","Belgium","Total","Thousand persons","Total","302",""
"2000","Belgium","Total","Percentage of total population","Total","3.9",""
"2000","Belgium","Total","Percentage of active population","Total","6.9",""
"2000","Bulgaria","Total","Thousand persons","Total","561",""
"2000","Bulgaria","Total","Percentage of total population","Total","8.9",""
"2000","Bulgaria","Total","Percentage of active population","Total","16.4",""
"2000","Czech Republic","Total","Thousand persons","Total","454",""
"2000","Czech Republic","Total","Percentage of total population","Total","5.6",""
"2000","Czech Republic","Total","Percentage of active population","Total","8.8",""
"2000","Denmark","Total","Thousand persons","Total","122",""
"2000","Denmark","Total","Percentage of total population","Total","3.3",""
"2000","Denmark","Total","Percentage of active population","Total","4.3",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,114",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.9",""
"2000","Estonia","Total","Thousand persons","Total","100",""
"2000","Estonia","Total","Percentage of total population","Total","9.3",""
"2000","Estonia","Total","Percentage of active population","Total","14.6",""
"2000","Ireland","Total","Thousand persons","Total","75",""
"2000","Ireland","Total","Percentage of total population","Total","2.7",""
"2000","Ireland","Total","Percentage of active population","Total","4.3",""
"2000","Greece","Total","Thousand persons","Total","517",""
"2000","Greece","Total","Percentage of total population","Total","6.3",""
"2000","Greece","Total","Percentage of active population","Total","11.2",""
"2000","Spain","Total","Thousand persons","Total","2,095",""
"2000","Spain","Total","Percentage of total population","Total","6.8",""
"2000","Spain","Total","Percentage of active population","Total","11.9",""
"2000","France","Total","Thousand persons","Total","2,306",""
"2000","France","Total","Percentage of total population","Total",":",""
"2000","France","Total","Percentage of active population","Total","8.6",""
"2000","Croatia","Total","Thousand persons","Total","284",""
"2000","Croatia","Total","Percentage of total population","Total",":",""
"2000","Croatia","Total","Percentage of active population","Total","15.6",""
"2000","Italy","Total","Thousand persons","Total","2,408",""
"2000","Italy","Total","Percentage of total population","Total","5.4",""
"2000","Italy","Total","Percentage of active population","Total","10.0",""
"2000","Cyprus","Total","Thousand persons","Total","15",""
"2000","Cyprus","Total","Percentage of total population","Total",":",""
"2000","Cyprus","Total","Percentage of active population","Total","4.8",""
"2000","Latvia","Total","Thousand persons","Total","158",""
"2000","Latvia","Total","Percentage of total population","Total",":",""
"2000","Latvia","Total","Percentage of active population","Total","14.3",""
"2000","Lithuania","Total","Thousand persons","Total","274",""
"2000","Lithuania","Total","Percentage of total population","Total",":",""
"2000","Lithuania","Total","Percentage of active population","Total","16.4",""
"2000","Luxembourg","Total","Thousand persons","Total","4",""
"2000","Luxembourg","Total","Percentage of total population","Total",":",""
"2000","Luxembourg","Total","Percentage of active population","Total","2.2",""
"2000","Hungary","Total","Thousand persons","Total","256",""
"2000","Hungary","Total","Percentage of total population","Total","3.4",""
"2000","Hungary","Total","Percentage of active population","Total","6.3",""
"2000","Malta","Total","Thousand persons","Total","10",""
"2000","Malta","Total","Percentage of total population","Total",":",""
"2000","Malta","Total","Percentage of active population","Total","6.7",""
"2000","Netherlands","Total","Thousand persons","Total","294",""
"2000","Netherlands","Total","Percentage of total population","Total","1.9",""
"2000","Netherlands","Total","Percentage of active population","Total","3.7",""
"2000","Austria","Total","Thousand persons","Total","149",""
"2000","Austria","Total","Percentage of total population","Total","2.2",""
"2000","Austria","Total","Percentage of active population","Total","3.9",""
"2000","Poland","Total","Thousand persons","Total","2,781",""
"2000","Poland","Total","Percentage of total population","Total","9.7",""
"2000","Poland","Total","Percentage of active population","Total","16.1",""
"2000","Portugal","Total","Thousand persons","Total","262",""
"2000","Portugal","Total","Percentage of total population","Total","3.0",""
"2000","Portugal","Total","Percentage of active population","Total","5.1",""
"2000","Romania","Total","Thousand persons","Total","875",""
"2000","Romania","Total","Percentage of total population","Total","4.8",""
"2000","Romania","Total","Percentage of active population","Total","7.6",""
"2000","Slovenia","Total","Thousand persons","Total","65",""
"2000","Slovenia","Total","Percentage of total population","Total","4.1",""
"2000","Slovenia","Total","Percentage of active population","Total","6.7",""
"2000","Slovakia","Total","Thousand persons","Total","482",""
"2000","Slovakia","Total","Percentage of total population","Total","11.9",""
"2000","Slovakia","Total","Percentage of active population","Total","18.9",""
"2000","Finland","Total","Thousand persons","Total","253",""
"2000","Finland","Total","Percentage of total population","Total","6.5",""
"2000","Finland","Total","Percentage of active population","Total","9.8",""
"2000","Sweden","Total","Thousand persons","Total","253","i"
"2000","Sweden","Total","Percentage of total population","Total",":",""
"2000","Sweden","Total","Percentage of active population","Total","5.6","i"
"2000","United Kingdom","Total","Thousand persons","Total","1,554",""
"2000","United Kingdom","Total","Percentage of total population","Total","3.7",""
"2000","United Kingdom","Total","Percentage of active population","Total","5.4",""
"2000","Iceland","Total","Thousand persons","Total",":",""
"2000","Iceland","Total","Percentage of total population","Total",":",""
"2000","Iceland","Total","Percentage of active population","Total",":",""
"2000","Norway","Total","Thousand persons","Total","76",""
"2000","Norway","Total","Percentage of total population","Total","2.4",""
"2000","Norway","Total","Percentage of active population","Total","3.2",""
"2000","Turkey","Total","Thousand persons","Total",":",""
"2000","Turkey","Total","Percentage of total population","Total",":",""
"2000","Turkey","Total","Percentage of active population","Total",":",""
"2001","Belgium","Total","Thousand persons","Total","286",""
"2001","Belgium","Total","Percentage of total population","Total","3.7",""
"2001","Belgium","Total","Percentage of active population","Total","6.6",""
"2001","Bulgaria","Total","Thousand persons","Total","670",""
"2001","Bulgaria","Total","Percentage of total population","Total","11.1",""
"2001","Bulgaria","Total","Percentage of active population","Total","19.6",""
"2001","Czech Republic","Total","Thousand persons","Total","418",""
"2001","Czech Republic","Total","Percentage of total population","Total","5.1",""
"2001","Czech Republic","Total","Percentage of active population","Total","8.1",""
"2001","Denmark","Total","Thousand persons","Total","130",""
"2001","Denmark","Total","Percentage of total population","Total","3.3",""
"2001","Denmark","Total","Percentage of active population","Total","4.5",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,059",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.8",""
"2001","Estonia","Total","Thousand persons","Total","88",""
"2001","Estonia","Total","Percentage of total population","Total","8.2",""
"2001","Estonia","Total","Percentage of active population","Total","13.0",""
"2001","Ireland","Total","Thousand persons","Total","72",""
"2001","Ireland","Total","Percentage of total population","Total","2.5",""
"2001","Ireland","Total","Percentage of active population","Total","3.9",""
"2001","Greece","Total","Thousand persons","Total","488",""
"2001","Greece","Total","Percentage of total population","Total","5.9",""
"2001","Greece","Total","Percentage of active population","Total","10.7",""
"2001","Spain","Total","Thousand persons","Total","1,904",""
"2001","Spain","Total","Percentage of total population","Total","6.0",""
"2001","Spain","Total","Percentage of active population","Total","10.6",""
"2001","France","Total","Thousand persons","Total","2,114",""
"2001","France","Total","Percentage of total population","Total",":",""
"2001","France","Total","Percentage of active population","Total","7.8",""
"2001","Croatia","Total","Thousand persons","Total","283",""
"2001","Croatia","Total","Percentage of total population","Total",":",""
"2001","Croatia","Total","Percentage of active population","Total","16.0",""
"2001","Italy","Total","Thousand persons","Total","2,173",""
"2001","Italy","Total","Percentage of total population","Total","4.9",""
"2001","Italy","Total","Percentage of active population","Total","9.0",""
"2001","Cyprus","Total","Thousand persons","Total","13",""
"2001","Cyprus","Total","Percentage of total population","Total",":",""
"2001","Cyprus","Total","Percentage of active population","Total","3.9",""
"2001","Latvia","Total","Thousand persons","Total","148","i"
"2001","Latvia","Total","Percentage of total population","Total",":",""
"2001","Latvia","Total","Percentage of active population","Total","13.5","i"
"2001","Lithuania","Total","Thousand persons","Total","284",""
"2001","Lithuania","Total","Percentage of total population","Total",":",""
"2001","Lithuania","Total","Percentage of active population","Total","17.4",""
"2001","Luxembourg","Total","Thousand persons","Total","4",""
"2001","Luxembourg","Total","Percentage of total population","Total",":",""
"2001","Luxembourg","Total","Percentage of active population","Total","1.9",""
"2001","Hungary","Total","Thousand persons","Total","228",""
"2001","Hungary","Total","Percentage of total population","Total","3.0",""
"2001","Hungary","Total","Percentage of active population","Total","5.6",""
"2001","Malta","Total","Thousand persons","Total","12",""
"2001","Malta","Total","Percentage of total population","Total",":",""
"2001","Malta","Total","Percentage of active population","Total","7.6",""
"2001","Netherlands","Total","Thousand persons","Total","247",""
"2001","Netherlands","Total","Percentage of total population","Total","1.5",""
"2001","Netherlands","Total","Percentage of active population","Total","3.1",""
"2001","Austria","Total","Thousand persons","Total","152",""
"2001","Austria","Total","Percentage of total population","Total","2.3",""
"2001","Austria","Total","Percentage of active population","Total","4.0",""
"2001","Poland","Total","Thousand persons","Total","3,167",""
"2001","Poland","Total","Percentage of total population","Total","10.9",""
"2001","Poland","Total","Percentage of active population","Total","18.3",""
"2001","Portugal","Total","Thousand persons","Total","269",""
"2001","Portugal","Total","Percentage of total population","Total","3.0",""
"2001","Portugal","Total","Percentage of active population","Total","5.1",""
"2001","Romania","Total","Thousand persons","Total","831",""
"2001","Romania","Total","Percentage of total population","Total","4.3",""
"2001","Romania","Total","Percentage of active population","Total","7.4",""
"2001","Slovenia","Total","Thousand persons","Total","60",""
"2001","Slovenia","Total","Percentage of total population","Total","3.8",""
"2001","Slovenia","Total","Percentage of active population","Total","6.2",""
"2001","Slovakia","Total","Thousand persons","Total","504",""
"2001","Slovakia","Total","Percentage of total population","Total","12.4",""
"2001","Slovakia","Total","Percentage of active population","Total","19.5",""
"2001","Finland","Total","Thousand persons","Total","238",""
"2001","Finland","Total","Percentage of total population","Total","6.1",""
