"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2016","Belgium","Total","Percentage of total population","Total","4.7",""
"2016","Belgium","Total","Percentage of active population","Total","7.8",""
"2016","Bulgaria","Total","Percentage of total population","Total","4.5",""
"2016","Bulgaria","Total","Percentage of active population","Total","7.6",""
"2016","Czech Republic","Total","Percentage of total population","Total","2.6",""
"2016","Czech Republic","Total","Percentage of active population","Total","4.0",""
"2016","Denmark","Total","Percentage of total population","Total","4.3",""
"2016","Denmark","Total","Percentage of active population","Total","6.2",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total","2.9",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","4.1",""
"2016","Estonia","Total","Percentage of total population","Total","4.8",""
"2016","Estonia","Total","Percentage of active population","Total","6.8",""
"2016","Ireland","Total","Percentage of total population","Total","5.1",""
"2016","Ireland","Total","Percentage of active population","Total","7.9",""
"2016","Greece","Total","Percentage of total population","Total","14.1",""
"2016","Greece","Total","Percentage of active population","Total","23.6",""
"2016","Spain","Total","Percentage of total population","Total","12.8",""
"2016","Spain","Total","Percentage of active population","Total","19.6",""
"2016","France","Total","Percentage of total population","Total","6.1",""
"2016","France","Total","Percentage of active population","Total","10.1",""
"2016","Croatia","Total","Percentage of total population","Total","7.5",""
"2016","Croatia","Total","Percentage of active population","Total","13.4",""
"2016","Italy","Total","Percentage of total population","Total","6.6",""
"2016","Italy","Total","Percentage of active population","Total","11.7",""
"2016","Cyprus","Total","Percentage of total population","Total","8.6",""
"2016","Cyprus","Total","Percentage of active population","Total","13.0",""
"2016","Latvia","Total","Percentage of total population","Total","6.6",""
"2016","Latvia","Total","Percentage of active population","Total","9.6",""
"2016","Lithuania","Total","Percentage of total population","Total","5.3",""
"2016","Lithuania","Total","Percentage of active population","Total","7.9",""
"2016","Luxembourg","Total","Percentage of total population","Total","4.0",""
"2016","Luxembourg","Total","Percentage of active population","Total","6.3",""
"2016","Hungary","Total","Percentage of total population","Total","3.1",""
"2016","Hungary","Total","Percentage of active population","Total","5.1",""
"2016","Malta","Total","Percentage of total population","Total","2.8",""
"2016","Malta","Total","Percentage of active population","Total","4.7",""
"2016","Netherlands","Total","Percentage of total population","Total","4.2",""
"2016","Netherlands","Total","Percentage of active population","Total","6.0",""
"2016","Austria","Total","Percentage of total population","Total","4.1",""
"2016","Austria","Total","Percentage of active population","Total","6.0",""
"2016","Poland","Total","Percentage of total population","Total","3.8",""
"2016","Poland","Total","Percentage of active population","Total","6.2",""
"2016","Portugal","Total","Percentage of total population","Total","7.3",""
"2016","Portugal","Total","Percentage of active population","Total","11.2",""
"2016","Romania","Total","Percentage of total population","Total","3.5",""
"2016","Romania","Total","Percentage of active population","Total","5.9",""
"2016","Slovenia","Total","Percentage of total population","Total","5.0",""
"2016","Slovenia","Total","Percentage of active population","Total","8.0",""
"2016","Slovakia","Total","Percentage of total population","Total","6.2",""
"2016","Slovakia","Total","Percentage of active population","Total","9.7",""
"2016","Finland","Total","Percentage of total population","Total","5.8",""
"2016","Finland","Total","Percentage of active population","Total","8.8",""
"2016","Sweden","Total","Percentage of total population","Total","5.0",""
"2016","Sweden","Total","Percentage of active population","Total","6.9",""
"2016","United Kingdom","Total","Percentage of total population","Total","3.3",""
"2016","United Kingdom","Total","Percentage of active population","Total","4.8",""
"2016","Iceland","Total","Percentage of total population","Total","2.5",""
"2016","Iceland","Total","Percentage of active population","Total","3.0",""
"2016","Norway","Total","Percentage of total population","Total","3.3",""
"2016","Norway","Total","Percentage of active population","Total","4.7",""
"2016","Turkey","Total","Percentage of total population","Total","5.9",""
"2016","Turkey","Total","Percentage of active population","Total","10.9",""
