patent_id,in_degree,rank_in,patent_title_in
4683202,3709,1,Process for amplifying nucleic acid sequences
5523520,3342,2,Mutant dwarfism gene of petunia
4683195,3188,3,"Process for amplifying, detecting, and/or-cloning nucleic acid sequences"
4733665,2697,4,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft"
5892900,2451,5,Systems and methods for secure transaction management and electronic rights protection
5731856,2377,6,Methods for forming liquid crystal displays including thin film transistors and gate pads having a particular structure
7674650,2367,7,Semiconductor device and manufacturing method thereof
7061014,2349,8,"Natural-superlattice homologous single crystal thin film, method for preparation thereof, and device using said single crystal thin film"
7297977,2334,9,Semiconductor device
6294274,2330,10,Oxide thin film
6727522,2323,11,Transistor and semiconductor device
6563174,2308,12,Thin film transistor and matrix display device
7064346,2290,13,Transistor and semiconductor device
7282782,2290,14,Combined binary oxide semiconductor device
7402506,2282,15,Methods of making thin film transistors comprising zinc-oxide-based semiconductor materials and transistors made thereby
7411209,2281,16,Field-effect transistor and method for manufacturing the same
7732819,2277,17,Semiconductor device and manufacturing method thereof
7323356,2274,18,"LnCuO(S,Se,Te)monocrystalline thin film, its manufacturing method, and optical device or electronic device using the monocrystalline thin film"
7211825,2269,19,Indium oxide-based thin film transistors and circuits
7453087,2268,20,Thin-film transistor and thin-film diode having amorphous-oxide semiconductor layer
5744864,2267,21,Semiconductor device having a transparent switching element
7462862,2264,22,Transistor using an isovalent semiconductor oxide as the active channel layer
7105868,2262,23,High-electron mobility transistor with zinc oxide
7468304,2262,24,Method of fabricating oxide semiconductor device
7453065,2261,25,Sensor and image pickup device
7049190,2260,26,"Method for forming ZnO film, method for forming ZnO semiconductor layer, method for fabricating semiconductor device, and semiconductor device"
7501293,2247,27,Semiconductor device in which zinc oxide is used as a semiconductor material and method for manufacturing the semiconductor device
7385224,2247,28,Thin film transistor having an etching protection film and manufacturing method thereof
4816567,2229,29,Recombinant immunoglobin preparations
5948061,1889,30,"Method of delivery, targeting, and measuring advertising over networks"
4723129,1871,31,Bubble jet recording method and apparatus in which a heating element generates bubbles in a liquid flow path to project droplets
6177931,1841,32,"Systems and methods for displaying and recording control interface with television programs, video, advertising information and program scheduling information"
5794207,1818,33,Method and apparatus for a cryptographically assisted commercial network system designed to facilitate buyer-driven conditional purchase offers
5572643,1811,34,Web browser with dynamic display of information objects during linking
4799156,1797,35,Interactive market management system
5740549,1712,36,Information and advertising distribution system and method
5742905,1696,37,Personal communications internetworking
4463359,1680,38,Droplet generating method and apparatus thereof
5848396,1679,39,Method and apparatus for determining behavioral profile of a computer user
6323846,1646,40,Method and apparatus for integrating manual input
4658085,1620,41,"Hybridization using cytoplasmic male sterility, cytoplasmic herbicide tolerance, and herbicide tolerance from nuclear genes"
5960411,1618,42,Method and system for placing a purchase order via a communications network
4665906,1609,43,Medical devices incorporating sim alloy elements
4655771,1606,44,Prosthesis comprising an expansible or contractile tubular body
5948040,1590,45,Travel reservation information and planning system
4740796,1587,46,Bubble jet recording method and apparatus in which a heating element generates bubbles in multiple liquid flow paths to project droplets
6029195,1586,47,System for customized electronic identification of desirable objects
5103459,1554,48,System and method for generating signal waveforms in a CDMA cellular telephone system
5710887,1544,49,Computer system and method for electronic commerce
5724521,1476,50,Method and apparatus for providing electronic advertisements to end users in a consumer best-fit pricing manner
4558333,1476,51,Liquid jet recording head
5794210,1464,52,Attention brokerage
5143854,1451,53,Large scale photolithographic solid phase synthesis of polypeptides and receptor binding screening thereof
4345262,1446,54,Ink jet recording method
5367109,1445,55,Inbred corn line PHHB9
5220501,1442,56,Method and system for remote delivery of retail banking services
6175752,1438,57,Analyte monitoring device and methods of use
5850009,1434,58,Inbred maize line PH0HC
5304719,1432,59,Inbred corn line PHT47
3845770,1431,60,- No title available -
