,patent_id,in_degree,rank_in,patent_title_in,pagerank,rank_pr,patent_title_pr,rank_avg
0,4683202,3709,1,Process for amplifying nucleic acid sequences,1.75e-05,6,Process for amplifying nucleic acid sequences,3.5
2,4683195,3188,3,"Process for amplifying, detecting, and/or-cloning nucleic acid sequences",1.6800000000000002e-05,7,"Process for amplifying, detecting, and/or-cloning nucleic acid sequences",5.0
1,5523520,3342,2,Mutant dwarfism gene of petunia,1.32e-05,10,Mutant dwarfism gene of petunia,6.0
7,4723129,1871,31,Bubble jet recording method and apparatus in which a heating element generates bubbles in a liquid flow path to project droplets,8.12e-06,34,Bubble jet recording method and apparatus in which a heating element generates bubbles in a liquid flow path to project droplets,32.5
8,5572643,1811,34,Web browser with dynamic display of information objects during linking,7.92e-06,36,Web browser with dynamic display of information objects during linking,35.0
12,4463359,1680,38,Droplet generating method and apparatus thereof,8.16e-06,32,Droplet generating method and apparatus thereof,35.0
19,5103459,1554,48,System and method for generating signal waveforms in a CDMA cellular telephone system,9.06e-06,23,System and method for generating signal waveforms in a CDMA cellular telephone system,35.5
33,4901307,1407,67,Spread spectrum multiple access communication system using satellite or terrestrial repeaters,8.41e-06,29,Spread spectrum multiple access communication system using satellite or terrestrial repeaters,48.0
17,4740796,1587,46,Bubble jet recording method and apparatus in which a heating element generates bubbles in multiple liquid flow paths to project droplets,6.35e-06,83,Bubble jet recording method and apparatus in which a heating element generates bubbles in multiple liquid flow paths to project droplets,64.5
21,4558333,1476,51,Liquid jet recording head,6.04e-06,103,Liquid jet recording head,77.0
23,4345262,1446,54,Ink jet recording method,5.92e-06,109,Ink jet recording method,81.5
32,4313124,1418,64,Liquid jet recording process and liquid jet recording head,6.05e-06,102,Liquid jet recording process and liquid jet recording head,83.0
6,4816567,2229,29,Recombinant immunoglobin preparations,5.51e-06,138,Recombinant immunoglobin preparations,83.5
50,4405829,1092,131,Cryptographic communications system and method,7.67e-06,42,Cryptographic communications system and method,86.5
24,5367109,1445,55,Inbred corn line PHHB9,5.78e-06,120,Inbred corn line PHHB9,87.5
30,4706121,1423,62,TV schedule system and process,5.72e-06,125,TV schedule system and process,93.5
48,4769292,1132,118,Electroluminescent device with modified thin film luminescent zone,6.43e-06,76,Electroluminescent device with modified thin film luminescent zone,97.0
26,5850009,1434,58,Inbred maize line PH0HC,5.39e-06,152,Inbred maize line PH0HC,105.0
37,4459600,1379,71,Liquid jet recording device,5.49e-06,142,Liquid jet recording device,106.5
27,5304719,1432,59,Inbred corn line PHT47,5.23e-06,165,Inbred corn line PHT47,112.0
40,5774660,1317,81,World-wide-web server with delayed resource-binding for resource-based load balancing on a distributed resource multi-node network,5.45e-06,148,World-wide-web server with delayed resource-binding for resource-based load balancing on a distributed resource multi-node network,114.5
22,5143854,1451,53,Large scale photolithographic solid phase synthesis of polypeptides and receptor binding screening thereof,5.03e-06,178,Large scale photolithographic solid phase synthesis of polypeptides and receptor binding screening thereof,115.5
61,4558413,942,243,Software version management system,1.8e-05,4,Software version management system,123.5
9,4799156,1797,35,Interactive market management system,4.46e-06,258,Interactive market management system,146.5
3,4733665,2697,4,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft",4.23e-06,289,"Expandable intraluminal graft, and method and apparatus for implanting an expandable intraluminal graft",146.5
31,5754939,1420,63,System for generation of user profiles for a system for customized electronic identification of desirable objects,4.52e-06,251,System for generation of user profiles for a system for customized electronic identification of desirable objects,157.0
66,4200770,872,335,Cryptographic apparatus and method,8.45e-06,28,Cryptographic apparatus and method,181.5
63,4503569,910,282,Transluminally placed expandable graft prosthesis,5.98e-06,107,Transluminally placed expandable graft prosthesis,194.5
67,5056109,869,343,Method and apparatus for controlling transmission power in a CDMA cellular mobile telephone system,7.35e-06,50,Method and apparatus for controlling transmission power in a CDMA cellular mobile telephone system,196.5
38,5247190,1366,74,Electroluminescent devices,3.98e-06,343,Electroluminescent devices,208.5
20,5710887,1544,49,Computer system and method for electronic commerce,3.75e-06,379,Computer system and method for electronic commerce,214.0
49,5172338,1127,119,Multi-state EEprom read and write circuits and techniques,4.09e-06,315,Multi-state EEprom read and write circuits and techniques,217.0
