patent_id,pagerank,rank_pr,patent_title_pr
4237224,2.93E-05,1,Process for producing biologically functional molecular chimeras
3813316,2.52E-05,2,- No title available -
4309756,1.86E-05,3,Method of automatically evaluating source language logic condition sets and of compiling machine executable instructions directly therefrom
4558413,1.80E-05,4,Software version management system
4395486,1.75E-05,5,Method for the direct analysis of sickle cell anemia
4683202,1.75E-05,6,Process for amplifying nucleic acid sequences
4683195,1.68E-05,7,"Process for amplifying, detecting, and/or-cloning nucleic acid sequences"
4298685,1.58E-05,8,Diagnostic reagent
3988545,1.58E-05,9,Method of transmitting information and multiplexing device for executing the method
5523520,1.32E-05,10,Mutant dwarfism gene of petunia
3932805,1.27E-05,11,Method of obtaining internal information of a measuring target from the out-side by the application of a nuclear magnetic resonance phenomenon
3747120,1.21E-05,12,- No title available -
4074232,1.18E-05,13,Data sending and receiving system for packet switching network
3956615,1.11E-05,14,Transaction execution system with secure data storage and communications
3898390,1.09E-05,15,- No title available -
3749845,1.04E-05,16,- No title available -
4251824,1.00E-05,17,Liquid jet recording method with variable thermal viscosity modulation
4812599,9.92E-06,18,Inbred corn line PHV78
4063220,9.88E-06,19,Multipoint data communication system with collision detection
4358535,9.82E-06,20,Specific DNA probes in diagnostic microbiology
3663762,9.58E-06,21,- No title available -
3798359,9.35E-06,22,- No title available -
5103459,9.06E-06,23,System and method for generating signal waveforms in a CDMA cellular telephone system
3906166,8.92E-06,24,- No title available -
3778614,8.83E-06,25,- No title available -
4032899,8.77E-06,26,Apparatus and method for switching of data
4320500,8.52E-06,27,Method of and system for routing in a packet-switched communication network
4200770,8.45E-06,28,Cryptographic apparatus and method
4901307,8.41E-06,29,Spread spectrum multiple access communication system using satellite or terrestrial repeaters
4539507,8.26E-06,30,Organic electroluminescent devices having improved power conversion efficiencies
4144412,8.19E-06,31,Method of assigning a radio channel to a calling mobile body of mobile communication system and radio channel assigning system therefor
4463359,8.16E-06,32,Droplet generating method and apparatus thereof
4346442,8.16E-06,33,Securities brokerage-cash management system
4723129,8.12E-06,34,Bubble jet recording method and apparatus in which a heating element generates bubbles in a liquid flow path to project droplets
3789832,8.12E-06,35,- No title available -
5572643,7.92E-06,36,Web browser with dynamic display of information objects during linking
4193131,7.77E-06,37,Cryptographic verification of operational keys used in communication networks
4315315,7.77E-06,38,Graphical automatic programming
4064521,7.75E-06,39,Semiconductor device having a body of amorphous silicon
4203158,7.70E-06,40,Electrically programmable and erasable MOS floating gate memory device employing tunneling and method of fabricating same
4432057,7.68E-06,41,"Method for the dynamic replication of data under distributed system control to control utilization of resources in a multiprocessing, distributed data base system"
4405829,7.67E-06,42,Cryptographic communications system and method
4555775,7.64E-06,43,Dynamic generation and overlaying of graphic windows for multiple active program storage areas
3890471,7.60E-06,44,- No title available -
4218582,7.59E-06,45,Public key cryptographic apparatus and method
